kyc_id,customer_id,risk_rating,verification_date,next_review_date,screening_status,alert_count,sar_filed,pep_flag,sanctions_flag
KYC001,CUST001,Low,2024-01-15,2027-01-15,Cleared,0,No,No,No
KYC002,CUST002,Medium,2023-06-20,2026-06-20,Flagged,2,No,No,No
KYC003,CUST003,Low,2024-03-10,2027-03-10,Cleared,0,No,No,No
KYC004,CUST004,High,2022-11-05,2025-11-05,Under Review,5,Yes,No,No
KYC005,CUST005,Low,2024-08-01,2027-08-01,Cleared,0,No,No,No
KYC006,CUST006,Medium,2023-09-12,2026-09-12,Flagged,1,No,No,No
KYC007,CUST007,Low,2024-05-20,2027-05-20,Cleared,0,No,No,No
KYC008,CUST008,High,2022-07-18,2025-07-18,Under Review,8,Yes,Yes,No
KYC009,CUST009,Low,2024-02-28,2027-02-28,Cleared,0,No,No,No
KYC010,CUST010,Medium,2023-12-01,2026-12-01,Cleared,1,No,No,No
KYC011,CUST011,Low,2024-06-15,2027-06-15,Cleared,0,No,No,No
KYC012,CUST012,High,2022-04-10,2025-04-10,Flagged,6,Yes,No,Yes
KYC013,CUST013,Low,2024-09-05,2027-09-05,Cleared,0,No,No,No
KYC014,CUST014,Medium,2023-03-22,2026-03-22,Flagged,3,No,No,No
KYC015,CUST015,Low,2024-07-30,2027-07-30,Cleared,0,No,No,No
KYC016,CUST016,High,2022-10-12,2025-10-12,Under Review,7,Yes,No,No
KYC017,CUST017,Low,2024-04-18,2027-04-18,Cleared,0,No,No,No
KYC018,CUST018,Medium,2023-08-08,2026-08-08,Cleared,2,No,No,No
KYC019,CUST019,Low,2024-01-25,2027-01-25,Cleared,0,No,No,No
KYC020,CUST020,Medium,2023-11-14,2026-11-14,Flagged,4,No,No,No
KYC021,CUST001,Low,2024-10-01,2027-10-01,Cleared,0,No,No,No
KYC022,CUST002,Medium,2024-10-01,2027-10-01,Cleared,0,No,No,No
KYC023,CUST003,Low,2024-10-01,2027-10-01,Cleared,0,No,No,No
KYC024,CUST004,High,2024-10-01,2027-10-01,Under Review,3,Yes,No,No
KYC025,CUST005,Low,2024-10-01,2027-10-01,Cleared,0,No,No,No
