appraisal_id,application_id,customer_id,credit_score,dti_ratio,ltv_ratio,foir_percent,bureau_inquiries_6m,property_valuation,appraisal_status,risk_grade,rejection_reason
LNCA001,LNAPP001,LNC001,750,28,75,45,2,3000000,approved,A,null
LNCA002,LNAPP002,LNC002,680,22,0,50,3,0,approved,B,null
LNCA003,LNAPP003,LNC003,620,35,80,55,4,900000,approved,C,null
LNCA004,LNAPP004,LNC004,550,42,85,60,5,0,rejected,D,low_credit_score
LNCA005,LNAPP005,LNC005,710,18,0,40,1,0,approved,A,null
LNCA006,LNAPP006,LNC006,640,25,0,45,3,0,pending,B,null
LNCA007,LNAPP007,LNC007,780,20,72,42,1,2200000,approved,A,null
LNCA008,LNAPP008,LNC008,800,32,70,48,2,1500000,approved,A,null
LNCA009,LNAPP009,LNC009,590,38,0,58,4,0,rejected,C,high_dti
LNCA010,LNAPP010,LNC010,820,35,80,50,1,5000000,approved,A,null
LNCA011,LNAPP011,LNC011,740,26,0,46,2,0,approved,B,null
LNCA012,LNAPP012,LNC012,660,28,75,50,3,700000,approved,C,null
LNCA013,LNAPP013,LNC013,770,30,78,48,1,3500000,approved,A,null
LNCA014,LNAPP014,LNC014,600,32,0,55,4,0,rejected,C,insufficient_income
LNCA015,LNAPP015,LNC015,720,22,0,43,2,0,approved,B,null
LNCA016,LNAPP016,LNC016,760,24,75,44,1,2500000,approved,A,null
LNCA017,LNAPP017,LNC017,730,26,78,47,2,1100000,approved,B,null
LNCA018,LNAPP018,LNC018,790,28,0,49,1,0,approved,A,null
LNCA019,LNAPP019,LNC019,810,38,85,52,1,6000000,pending,A,null
LNCA020,LNAPP020,LNC020,650,20,0,48,3,0,approved,C,null
