use_case_id,use_case_name,domain,model_type,accuracy_pct,deployment_status,launch_date,annual_roi_inr
AI001,Customer Service Chatbot,Customer Service,NLP,89,Production,2024-06-15,2800000
AI002,Credit Score Predictor,Credit Risk,Classification,94,Production,2024-03-20,3500000
AI003,Transaction Fraud Detection,Fraud,Anomaly Detection,92,Production,2024-08-10,4200000
AI004,Document OCR Processor,Operations,Computer Vision,96,Production,2024-05-01,1800000
AI005,Next Best Action,Marketing,Recommendation,87,Production,2024-09-01,2400000
AI006,Churn Prediction,Customer Retention,Classification,91,Pilot,2025-01-15,0
AI007,Voice Authentication,Security,Biometric,95,Production,2024-07-20,1500000
AI008,Loan Default Prediction,Lending,Classification,93,Production,2024-04-12,3100000
AI009,Sentiment Analysis,Customer Experience,NLP,88,Pilot,2025-02-01,0
AI010,Portfolio Optimization,Wealth Management,Optimization,90,Development,,0
AI011,ATM Cash Forecasting,Operations,Time Series,89,Production,2024-10-01,1200000
AI012,Customer Lifetime Value,Marketing,Regression,86,Production,2024-11-15,2100000
AI013,Insurance Claim Fraud,Insurance,Classification,91,Production,2024-06-30,1900000
AI014,Trade Surveillance,Compliance,Anomaly Detection,88,Pilot,2025-01-20,0
AI015,Credit Card Spend Prediction,Retail,Regression,85,Development,,0
AI016,Merchant Risk Scoring,Payments,Classification,90,Production,2024-08-25,1600000
AI017,Customer Segmentation,Marketing,Clustering,92,Production,2024-07-05,1300000
AI018,Regulatory Report Generation,Compliance,NLP,94,Development,,0
AI019,Personalized Pricing,Retail,Regression,87,Pilot,2025-02-15,0
AI020,Branch Footfall Prediction,Operations,Time Series,84,Development,,0
