application_id,customer_id,application_date,loan_type,loan_amount,tenure_months,employment_type,monthly_income,existing_emi,application_channel,status,approval_date,sanction_amount,interest_rate,processing_fee
LNAPP001,LNC001,2025-01-10,Home Loan,2500000,240,Salaried,85000,15000,Mobile,approved,2025-01-15,2500000,8.5,25000
LNAPP002,LNC002,2025-01-12,Personal Loan,500000,60,Salaried,60000,8000,Web,approved,2025-01-18,500000,11.5,5000
LNAPP003,LNC003,2025-01-15,Car Loan,800000,84,Self-Employed,45000,12000,Branch,approved,2025-01-22,750000,9.0,7500
LNAPP004,LNC004,2025-01-18,Home Loan,3500000,300,Salaried,120000,25000,Mobile,rejected,2025-01-20,0,0,0
LNAPP005,LNC005,2025-01-20,Personal Loan,300000,36,Salaried,55000,5000,Web,approved,2025-01-25,300000,12.0,3000
LNAPP006,LNC006,2025-02-01,Education Loan,600000,120,Freelancer,35000,0,Branch,pending,null,0,0,0
LNAPP007,LNC007,2025-02-05,Home Loan,1800000,180,Salaried,75000,10000,Mobile,approved,2025-02-10,1800000,8.75,18000
LNAPP008,LNC008,2025-02-08,Car Loan,1200000,96,Business Owner,95000,20000,Web,approved,2025-02-14,1200000,8.5,12000
LNAPP009,LNC009,2025-02-10,Personal Loan,200000,24,Salaried,40000,6000,Mobile,rejected,2025-02-12,0,0,0
LNAPP010,LNC010,2025-02-12,Home Loan,4200000,360,Salaried,150000,30000,Web,approved,2025-02-18,4200000,8.25,42000
LNAPP011,LNC011,2025-02-15,Personal Loan,700000,48,Salaried,70000,10000,Mobile,approved,2025-02-20,700000,11.0,7000
LNAPP012,LNC012,2025-02-18,Car Loan,600000,72,Self-Employed,50000,8000,Branch,approved,2025-02-25,550000,9.5,5500
LNAPP013,LNC013,2025-02-20,Home Loan,3000000,240,Salaried,90000,18000,Web,approved,2025-02-26,3000000,8.6,30000
LNAPP014,LNC014,2025-03-01,Personal Loan,400000,36,Salaried,50000,7000,Mobile,rejected,2025-03-03,0,0,0
LNAPP015,LNC015,2025-03-05,Education Loan,800000,144,Salaried,65000,0,Branch,approved,2025-03-12,800000,9.0,8000
LNAPP016,LNC016,2025-03-08,Home Loan,2000000,180,Salaried,80000,12000,Web,approved,2025-03-14,2000000,8.7,20000
LNAPP017,LNC017,2025-03-10,Car Loan,900000,84,Salaried,70000,10000,Mobile,approved,2025-03-16,900000,9.25,9000
LNAPP018,LNC018,2025-03-12,Personal Loan,600000,60,Business Owner,85000,15000,Web,approved,2025-03-18,600000,11.25,6000
LNAPP019,LNC019,2025-03-15,Home Loan,5500000,300,Salaried,200000,50000,Branch,pending,null,0,0,0
LNAPP020,LNC020,2025-03-18,Personal Loan,350000,24,Salaried,45000,5000,Mobile,approved,2025-03-22,350000,12.5,3500
