sar_id,customer_id,alert_date,activity_type,amount_inr,investigation_status,resolution,filing_date
SAR001,CUST004,2026-01-05,Unusual Cash Deposit,2500000,Closed,Explained as Property Sale,2026-01-10
SAR002,CUST008,2026-01-08,Layered Transactions,1800000,Open,Under Investigation,
SAR003,CUST012,2026-01-12,High Volume Transfers,3200000,Closed,Business Transaction Verified,2026-01-18
SAR004,CUST016,2026-01-15,Round Amount Pattern,950000,Open,Pattern Analysis Pending,
SAR005,CUST020,2026-01-18,Third Party Deposits,1200000,Closed,Gift from Family Verified,2026-01-22
SAR006,CUST004,2026-01-22,Cross Border Transfer,2100000,Open,Beneficiary Verification Pending,
SAR007,CUST008,2026-01-25,Structuring,1500000,Closed,Merchant Business Verified,2026-01-28
SAR008,CUST012,2026-01-28,Cash Intensive Business,2800000,Open,Risk Assessment Ongoing,
SAR009,CUST016,2026-02-01,Velocity Anomaly,850000,Closed,System Error Confirmed,2026-02-05
SAR010,CUST020,2026-02-03,PEP Related,1100000,Open,Enhanced Due Diligence Required,
SAR011,CUST004,2026-02-08,Wire Transfer Pattern,1950000,Closed,Regular Business Payment,2026-02-12
SAR012,CUST008,2026-02-10,Account Takeover,1350000,Open,Forensic Investigation,
SAR013,CUST012,2026-02-14,Trade Based ML,3100000,Closed,Invoice Verification Complete,2026-02-20
SAR014,CUST016,2026-02-18,Mirror Trading,920000,Open,Cross Border Analysis,
SAR015,CUST020,2026-02-22,Rapid Withdrawal,1080000,Closed,Genuine Business Need,2026-02-25
