account_id,customer_id,account_type,opening_date,activation_date,last_transaction_date,status,products_count,dormancy_flag,dormancy_days,monthly_avg_balance,churn_risk_score
ACC001,CUST001,Savings,2023-01-15,2023-01-20,2026-01-25,Active,4,No,0,45000,Low
ACC002,CUST002,Current,2023-03-10,2023-03-12,2025-11-20,Dormant,2,Yes,66,120000,High
ACC003,CUST003,Savings,2023-06-05,2023-06-10,2026-01-20,Active,3,No,0,28000,Low
ACC004,CUST004,Savings,2023-08-12,2023-08-15,2025-09-10,Dormant,1,Yes,137,8500,High
ACC005,CUST005,Current,2023-10-01,2023-10-05,2026-01-22,Active,5,No,0,350000,Low
ACC006,CUST006,Salary,2024-01-20,2024-01-25,2026-01-24,Active,3,No,0,65000,Low
ACC007,CUST007,Savings,2024-03-15,2024-03-20,2025-12-05,Dormant,2,Yes,51,15000,Medium
ACC008,CUST008,NRI,2024-05-10,2024-05-15,2026-01-18,Active,4,No,0,520000,Low
ACC009,CUST009,Savings,2024-07-01,2024-07-05,2025-10-15,Dormant,1,Yes,102,4200,High
ACC010,CUST010,Current,2024-09-12,2024-09-15,2026-01-23,Active,3,No,0,89000,Low
ACC011,CUST011,Salary,2024-11-01,2024-11-05,2026-01-21,Active,2,No,0,78000,Low
ACC012,CUST012,Savings,2025-01-10,2025-01-15,2025-08-20,Dormant,1,Yes,158,3200,High
ACC013,CUST013,Current,2025-02-20,2025-02-25,2026-01-19,Active,4,No,0,210000,Low
ACC014,CUST014,Savings,2025-04-05,2025-04-10,2025-11-30,Dormant,2,Yes,56,11000,Medium
ACC015,CUST015,Salary,2025-06-15,2025-06-20,2026-01-25,Active,3,No,0,92000,Low
ACC016,CUST016,NRI,2025-08-01,2025-08-05,2026-01-22,Active,5,No,0,780000,Low
ACC017,CUST017,Savings,2025-09-10,2025-09-15,2025-12-18,Dormant,1,Yes,38,5500,Medium
ACC018,CUST018,Current,2025-10-20,2025-10-25,2026-01-24,Active,3,No,0,145000,Low
ACC019,CUST019,Salary,2025-11-15,2025-11-20,2026-01-20,Active,2,No,0,68000,Low
ACC020,CUST020,Savings,2025-12-01,2025-12-05,2026-01-23,Active,1,No,0,18000,Low
ACC021,CUST001,Fixed Deposit,2023-02-10,2023-02-15,2026-01-25,Active,1,No,0,200000,Low
ACC022,CUST005,Fixed Deposit,2023-11-01,2023-11-05,2026-01-25,Active,1,No,0,500000,Low
ACC023,CUST008,Fixed Deposit,2024-06-01,2024-06-05,2026-01-25,Active,1,No,0,300000,Low
ACC024,CUST013,Fixed Deposit,2025-03-15,2025-03-20,2026-01-25,Active,1,No,0,150000,Low
ACC025,CUST016,Fixed Deposit,2025-09-01,2025-09-05,2026-01-25,Active,1,No,0,400000,Low
