month_id,survey_date,promoters,passives,detractors,nps_score,response_rate_pct
2025-01,2025-01-31,120,180,200,20,18.5
2025-02,2025-02-28,135,175,190,28,19.2
2025-03,2025-03-31,150,170,180,35,20.1
2025-04,2025-04-30,165,160,175,42,21.0
2025-05,2025-05-31,180,150,170,48,22.5
2025-06,2025-06-30,195,145,160,52,23.8
2025-07,2025-07-31,210,140,150,55,24.5
2025-08,2025-08-31,225,130,145,58,25.2
2025-09,2025-09-30,240,125,135,62,26.0
2025-10,2025-10-31,255,120,125,65,27.5
2025-11,2025-11-30,270,115,115,68,28.2
2025-12,2025-12-31,285,110,105,72,29.0
2026-01,2026-01-31,300,105,95,75,30.5
