reward_id,customer_id,transaction_id,points_earned,redemption_date,redemption_type,redemption_value_inr,points_balance,expiry_date
CCR001,CCC001,CCT001,32,null,null,0,320,2026-08-01
CCR002,CCC002,CCT002,185,null,null,0,1850,2026-08-01
CCR003,CCC003,CCT003,8,null,null,0,80,2026-08-02
CCR004,CCC005,CCT004,65,null,null,0,650,2026-08-02
CCR005,CCC006,CCT005,12,null,null,0,120,2026-08-03
CCR006,CCC007,CCT006,9,null,null,0,90,2026-08-03
CCR007,CCC008,CCT007,220,null,null,0,2200,2026-08-04
CCR008,CCC009,CCT008,28,null,null,0,280,2026-08-04
CCR009,CCC011,CCT009,4,null,null,0,40,2026-08-05
CCR010,CCC012,CCT010,42,null,null,0,420,2026-08-05
CCR011,CCC013,CCT011,11,null,null,0,110,2026-08-06
CCR012,CCC014,CCT012,35,null,null,0,350,2026-08-06
CCR013,CCC015,CCT013,48,null,null,0,480,2026-08-07
CCR014,CCC017,CCT014,120,null,null,0,1200,2026-08-07
CCR015,CCC018,CCT015,25,null,null,0,250,2026-08-08
CCR016,CCC020,CCT016,89,null,null,0,890,2026-08-08
CCR017,CCC001,CCT017,12,2025-08-10,cashback,120,220,2026-08-09
CCR018,CCC002,CCT018,15,null,null,0,1865,2026-08-09
CCR019,CCC005,CCT019,32,2025-08-12,statement_credit,320,338,2026-08-10
CCR020,CCC007,CCT020,6,null,null,0,96,2026-08-10
CCR021,CCC008,CCT021,55,2025-08-13,voucher,550,1705,2026-08-11
CCR022,CCC009,CCT022,18,null,null,0,298,2026-08-11
CCR023,CCC011,CCT023,21,null,null,0,61,2026-08-12
CCR024,CCC012,CCT024,85,null,null,0,505,2026-08-12
CCR025,CCC014,CCT025,22,null,null,0,372,2026-08-13
CCR026,CCC015,CCT026,18,null,null,0,498,2026-08-13
CCR027,CCC017,CCT027,14,null,null,0,1214,2026-08-14
CCR028,CCC018,CCT028,36,null,null,0,286,2026-08-14
CCR029,CCC020,CCT029,45,null,null,0,935,2026-08-15
CCR030,CCC002,CCT030,280,null,null,0,2140,2026-08-15
