card_id,customer_id,card_number,issue_date,expiry_date,status,total_loaded_inr,total_spent_inr,current_balance_inr,currency_wallet_count,primary_currency,last_transaction_date,block_reason
FC001,FXC001,****1234,2025-01-05,2028-01-31,active,150000.00,135000.00,15000.00,2,USD,2025-02-01,null
FC002,FXC002,****5678,2025-01-18,2028-01-31,active,400000.00,385000.00,15000.00,3,GBP,2025-01-21,null
FC003,FXC003,****9012,2025-02-01,2028-02-28,active,80000.00,62000.00,18000.00,2,EUR,2025-02-15,null
FC004,FXC004,****3456,2025-02-08,2028-02-28,blocked,50000.00,8250.00,41750.00,1,JPY,2025-02-10,expired_kyc
FC005,FXC005,****7890,2025-02-14,2028-02-28,active,60000.00,11250.00,48750.00,1,AED,2025-02-15,null
FC006,FXC006,****1111,2025-03-01,2028-03-31,active,450000.00,433500.00,16500.00,2,GBP,2025-03-25,null
FC007,FXC007,****2222,2025-03-08,2028-03-31,active,50000.00,25116.00,24884.00,1,USD,2025-03-10,null
FC008,FXC008,****3333,2025-03-14,2028-03-31,active,200000.00,107550.00,92450.00,3,EUR,2025-03-20,null
FC009,FXC009,****4444,2025-04-03,2028-04-30,blocked,100000.00,12300.00,87700.00,1,SGD,2025-04-05,lost_card
FC010,FXC010,****5555,2025-04-10,2028-04-30,active,250000.00,234200.00,15800.00,2,USD,2025-04-25,null
FC011,FXC011,****6666,2025-04-18,2028-04-30,active,180000.00,165000.00,15000.00,1,GBP,2025-04-20,null
FC012,FXC012,****7777,2025-04-28,2028-04-30,active,35000.00,30250.00,4750.00,1,JPY,2025-05-05,null
FC013,FXC013,****8888,2025-05-08,2028-05-31,active,500000.00,457600.00,42400.00,3,EUR,2025-05-25,null
FC014,FXC014,****9999,2025-05-15,2028-05-31,pending_activation,120000.00,18000.00,102000.00,1,AED,2025-05-18,null
FC015,FXC015,****0000,2025-05-30,2028-05-31,active,45000.00,3300.00,41700.00,1,AUD,2025-06-01,null
FC016,FXC016,****1212,2025-06-08,2028-06-30,active,150000.00,145200.00,4800.00,2,USD,2025-06-15,null
FC017,FXC017,****2323,2025-06-18,2028-06-30,active,75000.00,58250.00,16750.00,1,GBP,2025-06-20,null
FC018,FXC018,****3434,2025-06-28,2028-06-30,active,450000.00,435150.00,14850.00,3,EUR,2025-07-01,null
FC019,FXC019,****4545,2025-07-08,2028-07-31,active,35000.00,6600.00,28400.00,1,THB,2025-07-10,null
FC020,FXC020,****5656,2025-07-18,2028-07-31,active,120000.00,10800.00,109200.00,1,CAD,2025-07-20,null
