disbursement_id,application_id,customer_id,disbursement_date,disbursement_amount,disbursement_mode,first_emi_date,emi_amount,loan_account_number,status
LND001,LNAPP001,LNC001,2025-01-20,2500000,NEFT,2025-02-20,21650,LNA0001,active
LND002,LNAPP002,LNC002,2025-01-22,500000,IMPS,2025-02-22,10980,LNA0002,active
LND003,LNAPP003,LNC003,2025-01-25,750000,RTGS,2025-02-25,12150,LNA0003,active
LND004,LNAPP005,LNC005,2025-01-28,300000,NEFT,2025-02-28,9940,LNA0004,active
LND005,LNAPP007,LNC007,2025-02-12,1800000,RTGS,2025-03-12,18340,LNA0005,active
LND006,LNAPP008,LNC008,2025-02-16,1200000,NEFT,2025-03-16,16580,LNA0006,active
LND007,LNAPP010,LNC010,2025-02-22,4200000,RTGS,2025-03-22,33870,LNA0007,active
LND008,LNAPP011,LNC011,2025-02-24,700000,IMPS,2025-03-24,18140,LNA0008,active
LND009,LNAPP012,LNC012,2025-02-28,550000,NEFT,2025-03-28,10320,LNA0009,active
LND010,LNAPP013,LNC013,2025-03-02,3000000,RTGS,2025-04-02,26020,LNA0010,active
LND011,LNAPP015,LNC015,2025-03-15,800000,NEFT,2025-04-15,10560,LNA0011,active
LND012,LNAPP016,LNC016,2025-03-18,2000000,IMPS,2025-04-18,19980,LNA0012,active
LND013,LNAPP017,LNC017,2025-03-20,900000,NEFT,2025-04-20,14560,LNA0013,active
LND014,LNAPP018,LNC018,2025-03-22,600000,IMPS,2025-04-22,13140,LNA0014,active
LND015,LNAPP020,LNC020,2025-03-25,350000,NEFT,2025-04-25,16540,LNA0015,active
