model_id,use_case_id,prediction_date,total_predictions,correct_predictions,latency_ms,drift_detected
MD001,AI001,2026-01-25,50000,44500,85,No
MD002,AI002,2026-01-25,12000,11280,120,No
MD003,AI003,2026-01-25,850000,782000,45,No
MD004,AI004,2026-01-25,35000,33600,150,No
MD005,AI005,2026-01-25,180000,156600,95,No
MD006,AI007,2026-01-25,25000,23750,110,No
MD007,AI008,2026-01-25,8000,7440,130,No
MD008,AI011,2026-01-25,4200,3738,90,No
MD009,AI012,2026-01-25,95000,81700,75,No
MD010,AI013,2026-01-25,6800,6188,140,No
MD011,AI016,2026-01-25,22000,19800,105,No
MD012,AI017,2026-01-25,150000,138000,80,No
MD013,AI001,2026-01-20,48000,42240,88,No
MD014,AI002,2026-01-20,11500,10730,125,No
MD015,AI003,2026-01-20,820000,754400,48,Yes
