application_id,customer_id,application_date,product_type,annual_income,employment_type,credit_score,requested_limit,approved_limit,application_status,approval_date,card_delivery_date,activation_date,rejection_reason
CCAPP001,CCC001,2025-01-10,Rewards Card,800000,Salaried,720,150000,100000,approved,2025-01-12,2025-01-20,2025-01-21,null
CCAPP002,CCC002,2025-01-15,Travel Card,1200000,Salaried,780,250000,200000,approved,2025-01-16,2025-01-24,2025-01-25,null
CCAPP003,CCC003,2025-01-20,Shopping Card,450000,Self-Employed,650,100000,50000,approved,2025-01-22,2025-01-30,2025-02-01,null
CCAPP004,CCC004,2025-02-01,Rewards Card,600000,Salaried,580,150000,0,rejected,2025-02-02,null,null,low_credit_score
CCAPP005,CCC005,2025-02-05,Travel Card,1500000,Salaried,810,300000,250000,approved,2025-02-06,2025-02-14,2025-02-15,null
CCAPP006,CCC006,2025-02-10,Shopping Card,350000,Freelancer,620,80000,40000,approved,2025-02-12,2025-02-20,2025-02-22,null
CCAPP007,CCC007,2025-02-15,Rewards Card,950000,Salaried,740,200000,150000,approved,2025-02-16,2025-02-24,2025-02-25,null
CCAPP008,CCC008,2025-03-01,Travel Card,1800000,Business Owner,850,500000,400000,approved,2025-03-02,2025-03-10,2025-03-11,null
CCAPP009,CCC009,2025-03-05,Rewards Card,550000,Salaried,690,120000,80000,approved,2025-03-07,2025-03-15,2025-03-16,null
CCAPP010,CCC010,2025-03-10,Shopping Card,400000,Self-Employed,600,100000,0,rejected,2025-03-11,null,null,insufficient_income
CCAPP011,CCC011,2025-03-15,Travel Card,1100000,Salaried,760,250000,200000,approved,2025-03-16,2025-03-24,2025-03-25,null
CCAPP012,CCC012,2025-04-01,Rewards Card,700000,Salaried,710,150000,120000,approved,2025-04-02,2025-04-10,2025-04-12,null
CCAPP013,CCC013,2025-04-05,Shopping Card,500000,Salaried,670,100000,60000,approved,2025-04-07,2025-04-15,2025-04-16,null
CCAPP014,CCC014,2025-04-10,Travel Card,2000000,Salaried,820,400000,350000,approved,2025-04-11,2025-04-19,2025-04-20,null
CCAPP015,CCC015,2025-04-15,Rewards Card,850000,Salaried,730,180000,130000,approved,2025-04-16,2025-04-24,2025-04-25,null
CCAPP016,CCC016,2025-05-01,Shopping Card,300000,Freelancer,640,80000,35000,approved,2025-05-03,2025-05-11,2025-05-12,null
CCAPP017,CCC017,2025-05-05,Travel Card,1350000,Salaried,790,280000,220000,approved,2025-05-06,2025-05-14,2025-05-15,null
CCAPP018,CCC018,2025-05-10,Rewards Card,750000,Salaried,700,150000,110000,approved,2025-05-11,2025-05-19,2025-05-20,null
CCAPP019,CCC019,2025-05-15,Shopping Card,480000,Self-Employed,610,100000,0,rejected,2025-05-16,null,null,high_existing_debt
CCAPP020,CCC020,2025-06-01,Travel Card,1600000,Salaried,800,350000,280000,approved,2025-06-02,2025-06-10,2025-06-11,null
