transaction_id,card_id,customer_id,transaction_date,transaction_time,merchant_name,merchant_country,transaction_currency,transaction_amount,local_currency_amount,exchange_rate,transaction_type,channel,status
FXT001,FC001,FXC001,2025-01-15,10:30:00,Hotel Plaza,USA,USD,1200.00,100800.00,84.00,POS,Card,approved
FXT002,FC001,FXC001,2025-01-16,14:45:00,Restaurant XYZ,USA,USD,85.50,7182.00,84.00,POS,Card,approved
FXT003,FC002,FXC002,2025-01-20,09:15:00,Metro Store,UK,GBP,250.00,27500.00,110.00,POS,Card,approved
FXT004,FC002,FXC002,2025-01-21,16:30:00,ATM London,UK,GBP,100.00,11000.00,110.00,ATM,Card,approved
FXT005,FC003,FXC003,2025-02-05,11:00:00,Paris Boutique,France,EUR,180.00,16200.00,90.00,POS,Card,approved
FXT006,FC004,FXC004,2025-02-10,08:45:00,Hotel Tokyo,Japan,JPY,15000.00,8250.00,0.55,POS,Card,approved
FXT007,FC005,FXC005,2025-02-15,13:20:00,Dubai Mall,UAE,AED,500.00,11250.00,22.50,POS,Card,approved
FXT008,FC006,FXC006,2025-03-01,15:10:00,Harrods,UK,GBP,350.00,38500.00,110.00,POS,Card,approved
FXT009,FC007,FXC007,2025-03-10,12:00:00,Best Buy,USA,USD,299.00,25116.00,84.00,POS,Card,approved
FXT010,FC008,FXC008,2025-03-15,17:30:00,Berlin Cafe,Germany,EUR,45.00,3825.00,85.00,POS,Card,approved
FXT011,FC009,FXC009,2025-04-05,10:00:00,Hotel Marina,Singapore,SGD,200.00,12300.00,61.50,POS,Card,approved
FXT012,FC010,FXC010,2025-04-12,14:20:00,Times Square NYC,USA,USD,500.00,42000.00,84.00,POS,Card,approved
FXT013,FC011,FXC011,2025-04-20,09:45:00,Oxford Street,UK,GBP,150.00,16500.00,110.00,POS,Card,approved
FXT014,FC012,FXC012,2025-05-01,11:30:00,Tokyo Station,Japan,JPY,5000.00,2750.00,0.55,POS,Card,approved
FXT015,FC013,FXC013,2025-05-10,16:00:00,Barcelona Hotel,Spain,EUR,220.00,19800.00,90.00,POS,Card,approved
FXT016,FC014,FXC014,2025-05-18,08:30:00,Dubai Airport,UAE,AED,800.00,18000.00,22.50,POS,Card,approved
FXT017,FC015,FXC015,2025-06-01,13:45:00,Sydney Cafe,Australia,AUD,60.00,3300.00,55.00,POS,Card,approved
FXT018,FC016,FXC016,2025-06-10,15:15:00,New York Pizza,USA,USD,25.00,2100.00,84.00,POS,Card,approved
FXT019,FC017,FXC017,2025-06-20,10:00:00,London Eye,UK,GBP,75.00,8250.00,110.00,POS,Card,approved
FXT020,FC018,FXC018,2025-07-01,12:30:00,Paris Metro,France,EUR,35.00,3150.00,90.00,POS,Card,approved
FXT021,FC019,FXC019,2025-07-10,14:00:00,Hotel Bangkok,Thailand,THB,3000.00,6600.00,2.20,POS,Card,approved
FXT022,FC020,FXC020,2025-07-20,09:30:00,Toronto Mall,Canada,CAD,180.00,10800.00,60.00,POS,Card,approved
FXT023,FC001,FXC001,2025-02-01,11:00:00,Online Store,USA,USD,350.00,29400.00,84.00,ecom,Online,approved
FXT024,FC006,FXC006,2025-03-25,16:45:00,Amazon UK,UK,GBP,120.00,13200.00,110.00,ecom,Online,approved
FXT025,FC010,FXC010,2025-04-25,10:30:00,Airbnb,USA,USD,800.00,67200.00,84.00,ecom,Online,approved
FXT026,FC013,FXC013,2025-05-25,15:00:00,Expedia,USA,USD,450.00,37800.00,84.00,ecom,Online,approved
FXT027,FC016,FXC016,2025-06-15,13:20:00,Booking.com,Netherlands,EUR,300.00,27000.00,90.00,ecom,Online,approved
FXT028,FC003,FXC003,2025-02-15,18:00:00,ATM Paris,France,EUR,200.00,18000.00,90.00,ATM,Card,approved
FXT029,FC008,FXC008,2025-03-20,20:30:00,ATM Berlin,Germany,EUR,150.00,12750.00,85.00,ATM,Card,approved
FXT030,FC012,FXC012,2025-05-05,07:15:00,ATM Tokyo,Japan,JPY,10000.00,5500.00,0.55,ATM,Card,approved
