release_id,product_name,version,release_date,features_count,bugs_reported,bugs_fixed,customer_feedback_score
REL001,Savings Account,v2.1,2024-06-15,3,8,8,4.2
REL002,Credit Card,v3.0,2024-08-01,4,12,10,4.0
REL003,Personal Loan,v1.5,2024-09-20,2,5,5,3.8
REL004,Home Loan,v2.0,2024-11-10,3,7,7,3.5
REL005,Insurance,v4.1,2024-07-30,3,6,6,4.1
REL006,Forex Card,v2.5,2024-10-05,2,4,4,4.0
REL007,Digital Banking,v5.0,2024-12-01,5,15,14,4.3
REL008,Investment,v1.8,2024-08-15,2,3,3,4.2
REL009,Business Banking,v3.2,2025-01-20,3,9,8,3.6
REL010,Savings Account,v2.2,2024-09-01,2,4,4,4.1
REL011,Credit Card,v3.1,2024-11-15,3,7,6,4.3
REL012,Personal Loan,v1.6,2025-02-01,2,5,4,3.7
REL013,Home Loan,v2.1,2025-03-15,2,4,3,3.4
REL014,Insurance,v4.2,2024-10-20,2,5,5,4.0
REL015,Forex Card,v2.6,2025-01-05,2,3,3,4.2
