table_name,total_records,completeness_pct,accuracy_pct,freshness_days,last_checked
customers,250000,98.5,96.2,0.5,2026-01-30
transactions,5200000,99.1,97.8,0.2,2026-01-30
accounts,320000,97.8,95.5,0.5,2026-01-30
loans,45000,96.5,94.2,1.0,2026-01-29
payments,1800000,99.5,98.5,0.1,2026-01-30
forex_cards,28000,95.2,93.8,2.0,2026-01-28
insurance_policies,12000,97.0,95.0,1.5,2026-01-29
merchant_data,8500,94.5,92.0,3.0,2026-01-27
branch_operations,150,99.0,98.0,0.5,2026-01-30
complaints,8500,96.0,94.5,1.0,2026-01-29
kyc_records,320000,98.0,96.5,0.5,2026-01-30
suspicious_activity,420,99.5,98.0,0.5,2026-01-30
api_logs,2500000,99.8,99.0,0.1,2026-01-30
customer_journeys,180000,97.5,95.0,1.0,2026-01-29
product_features,320,98.0,96.0,2.0,2026-01-28
